Category,Year,Title,Name,一言概要,Info (詳細情報),Link
論文,2021,"Development of TiNbTaZrMo bio-high entropy alloy (BioHEA) super-solid solution by selective laser melting, and its improved mechanical property and biocompatibility","Takuya Ishimoto, Ryosuke Ozasa, Kana Nakano, Markus Weinmann, Christoph Schnitter, Melanie Stenzel, Aira Matsugaki, Takeshi Nagase, Tadaaki Matsuzaka, Mitsuharu Todai, Hyoung Seop Kim, Takayoshi Nakano",Scripta Materialia,"Takuya Ishimoto, Ryosuke Ozasa, Kana Nakano, Markus Weinmann, Christoph Schnitter, Melanie Stenzel, Aira Matsugaki, Takeshi Nagase, Tadaaki Matsuzaka, Mitsuharu Todai, Hyoung Seop Kim, Takayoshi Nakano*: Development of TiNbTaZrMo bio-high entropy alloy (BioHEA) super-solid solution by selective laser melting, and its improved mechanical property and biocompatibility, Scripta Materialia, 194, (2021), 113658. DOI: https://doi.org/10.1016/j.scriptamat.2020.113658",https://www.sciencedirect.com/science/article/pii/S1359646220307806
論文,2021,Superior Alignment of Human iPSC-Osteoblasts Associated with Focal Adhesion Formation Stimulated by Oriented Collagen Scaffold,"Ryosuke Ozasa, Aira Matsugaki, Tadaaki Matsuzaka, Takuya Ishimoto, Hui-Suk Yun, Takayoshi Nakano",International Journal of Molecular Sciences,"Ryosuke Ozasa, Aira Matsugaki, Tadaaki Matsuzaka, Takuya Ishimoto, Hui-Suk Yun, Takayoshi Nakano*: Superior Alignment of Human iPSC-Osteoblasts Associated with Focal Adhesion Formation Stimulated by Oriented Collagen Scaffold, International Journal of Molecular Sciences, 22, (2021), 6232. DOI: https://doi.org/10.3390/ijms22126232",https://www.mdpi.com/1422-0067/22/12/6232
論文,2020,3D Printing of Anisotropic Bone-Mimetic Structure with Controlled Fluid Flow Stimuli for Osteocytes: Flow Orientation Determines the Elongation of Dendrites,"Aira Matsugaki, Tadaaki Matsuzaka, Ami Murakami, Pan Wang, Takayoshi Nakano",International Journal of Bioprinting,"Aira Matsugaki, Tadaaki Matsuzaka, Ami Murakami, Pan Wang, Takayoshi Nakano*: 3D Printing of Anisotropic Bone-Mimetic Structure with Controlled Fluid Flow Stimuli for Osteocytes: Flow Orientation Determines the Elongation of Dendrites, International Journal of Bioprinting, 6, (2020), 293. DOI: https://doi.org/10.18063/ijb.v6i4.293",https://www.accscience.com/journal/IJB/6/4/10.18063/ijb.v6i4.293
論文,2021,金属3Dプリンティングによる表面構造制御とそれに基づく幹細胞制御,"松垣 あいら,中村 郁仁,竹花 諒,藤當 翼,福島 涼,松坂 匡晃,小笹 良輔,石本 卓也,宮部 さやか,中野 貴由          ",スマートプロセス学会誌,"松垣 あいら,中村 郁仁,竹花 諒,藤當 翼,福島 涼,松坂 匡晃,小笹 良輔,石本 卓也,宮部 さやか,中野 貴由          *: 金属3Dプリンティングによる表面構造制御とそれに基づく幹細胞制御, スマートプロセス学会誌, 10, (2021), 261-264. DOI: https://doi.org/10.7791/jspmee.10.261",0
,,,,,,
総説・解説,2023,生体環境適用に向けた 3D プリンティングによる骨細胞制御,"松垣あいら, 松坂匡晃, 田中健嗣, 三浦涼靖, 大原秀真, 丹羽陽一朗, 小笹良輔, Gokcekaya Ozkan, 中野貴由",abstract,"松垣あいら, 松坂匡晃, 田中健嗣, 三浦涼靖, 大原秀真, 丹羽陽一朗, 小笹良輔, Gokcekaya Ozkan, 中野貴由：生体環境適用に向けた 3D プリンティングによる骨細胞制御、スマートプロセス学会誌、12 [4], (2023), 225-228.",
総説・解説,2022,粉末床溶融結合法用β型Ti-15Mo-5Zr-3Al合金粉末の評価と流動特性,小笹良輔、Park Sung-Hyun、Gokcekaya Ozkan、Gupta Mridul、山岡祐介、松坂匡晃、森田尚昂、松垣あいら、石本卓也、中野貴由,abstract,"小笹良輔、Park Sung-Hyun、Gokcekaya Ozkan、Gupta Mridul、山岡祐介、松坂匡晃、森田尚昂、松垣あいら、石本卓也、中野貴由：粉末床溶融結合法用β型Ti-15Mo-5Zr-3Al合金粉末の評価と流動特性、スマートプロセス学会誌、11 [4], (2022), 175-179.",
総説・解説,2022,チタン合金の金属積層造形による硬組織適合性制御,松垣あいら、松坂匡晃、中野貴由,abstract,"松垣あいら、松坂匡晃、中野貴由：チタン合金の金属積層造形による硬組織適合性制御、軽金属、72 [6], (2022), 339-343.",10.2464/jilm.72.339
総説・解説,2021,金属3Dプリンティングによる表面構造制御とそれに基づく幹細胞制御 (Control of stem cell fate and function by engineered surface topography using metal additive manufacturing technology),松垣あいら、中村郁仁、竹花諒、藤當翼、福島涼、松坂匡晃、小笹良輔、石本卓也、宮部さやか、中野貴由,abstract,"松垣あいら、中村郁仁、竹花諒、藤當翼、福島涼、松坂匡晃、小笹良輔、石本卓也、宮部さやか、中野貴由：金属3Dプリンティングによる表面構造制御とそれに基づく幹細胞制御 (Control of stem cell fate and function by engineered surface topography using metal additive manufacturing technology)、スマートプロセス学会誌、10 [4], (2021), 261-264.",
総説・解説,2021,骨の微細配向化構造形成メカニズム解明のための応力負荷異方性共培養モデル構築,松坂匡晃、松垣あいら、中野貴由,abstract,"松坂匡晃、松垣あいら、中野貴由：骨の微細配向化構造形成メカニズム解明のための応力負荷異方性共培養モデル構築、骨形態計測学会誌、31, (2021), 45-51.",
,,,,,,
著書,2024,第８章 ３節　生体吸収性無機／有機骨補填材の生体内動態とその機序,松坂匡晃、松垣あいら、萩原幸司、松本卓也、中野貴由,0,"松坂匡晃、松垣あいら、萩原幸司、松本卓也、中野貴由：第８章 ３節　生体吸収性無機／有機骨補填材の生体内動態とその機序、生体吸収外科材料の使い方と新しい材料の有用性、, (2024), 370-379.",
,,,,,,
報道,2024,阪大、8元素混合成功 生体用ハイエントロピー合金,,,「阪大、8元素混合成功 生体用ハイエントロピー合金」日刊工業新聞 2024年2月29日 朝刊 25面,
報道,2023,幹細胞から骨成分形成、3D造形基板で促進、阪大,,,「幹細胞から骨成分形成、3D造形基板で促進、阪大」日刊工業新聞 2023年9月21日 朝刊 1面,
報道,2021,骨芽細胞配列　分子が制御　疾患治療薬　開発に道,,,「骨芽細胞配列　分子が制御　疾患治療薬　開発に道」日刊工業新聞 2021年11月2日 朝刊 23面,
,,,,,,
学会発表,2024,応力場に応じた骨配向性構築による力学機能適応,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会第7回第7分野講演大会、愛媛大学、2024年12月7日,
学会発表,2024,負荷ひずみ速度に応じたオステオサイトの加速度流感受に基づく骨配向化制御,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、第46回日本バイオマテリアル学会大会、仙台国際センター、2024年10月28日,
学会発表,2024,荷重ひずみ速度に応じた骨微細構造制御機構の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2024年秋期（第175回）講演大会、大阪大学、2024年9月19日,
学会発表,2024,負荷ひずみ速度に応じたオステオサイトの加速度流感受に基づく骨配向化制御因子の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本バイオマテリアル学会関西ブロック第19回若手研究発表会、京都府立医科大学河原町キャンパス、2024年7月27日,
学会発表,2024,英語発表,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano",,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano、12th World Biomaterials Congress、、2024年5月29日",
学会発表,2024,応力感受に基づく配向化骨形成制御を介した骨機能適応,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2024年春期（第174回）講演大会、東京理科大学葛飾キャンパス、2024年3月15日,
学会発表,2024,負荷ひずみ速度に応じたオステオサイトの加速度流感受に基づく骨配向化制御,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、第46回日本バイオマテリアル学会大会、仙台国際センター、2024年10月28日,
学会発表,2024,骨基質配向性は骨に加わるひずみ速度に応じて変化する,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、第44回日本骨形態計測学会、コラッセ福島、2024年6月22日,
学会発表,2023,応力感受に基づく配向化制御を介した骨機能適応機構の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2023年秋期（第173回）講演大会、富山大学、2023年9月21日,
学会発表,2023,オステオサイトの加速度流感受を起点とした骨配向化制御因子の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本バイオマテリアル学会関西ブロック第18回若手研究発表会、京都大学吉田キャンパス、2023年7月29日,
学会発表,2023,オステオサイトは流体加速度に応じて骨基質配向性を制御する,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、第43回日本骨形態計測学会、北海道大学 学術交流会館、2023年7月1日,
学会発表,2023,オステオサイトの応力感受に応じた骨配向化制御による機能適応,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本バイオマテリアル学会関西ブロック第17回若手研究発表会、大阪公立大学、2023年3月4日,
学会発表,2023,オステオサイトの応力感受を起点とする骨配向化制御を介した力学機能適応,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本材料学会第4回生体・医療材料部門委員会学生研究交流会、オンライン、2023年3月29日,
学会発表,2023,オステオサイトの応力感受に基づく骨配向化制御を介した力学機能適応,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2023年春期（第172回）講演大会、東京大学、2023年3月17日,
学会発表,2023,応力感受を起点とした骨配向化微細構造の自己制御に基づく力学機能適応,松坂匡晃,,松坂匡晃、第4回 材料機能特性のアーキテクチャー研究会、沖縄（リブマックスアムス・カンナリゾートヴィラ）、2023年12月4日,
学会発表,2023,オステオサイトの応力感受に基づく骨配向化を介した力学機能適応,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、関大合同研究会、オンライン、2023年12月19日,
学会発表,2023,応力場環境に応じた骨配向性構築を介した力学機能適応,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、2023年マテリアルデザイン研究会、オンライン、2023年12月18日,
学会発表,2023,英語発表,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano",,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano、Materials Research Meeting 2023、Kyoto International Conference Center、2023年12月15日",
学会発表,2023,英語発表,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano",,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano、The 1st International conference on Creation of Materials by Superthermal Field 2023、Osaka (Life Science Center in Senri-Chuo)、2023年11月15日",
学会発表,2023,応力感受に基づく細胞間相互作用を介した骨配向化機能適応の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、第45回日本バイオマテリアル学会大会、神戸国際会議場、2023年11月7日,
学会発表,2023,英語発表,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano",,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano、The 11th Pacific Rim International Conference on Advanced Materials and Processing、韓国、2023年11月20日",
学会発表,2022,オステオサイトの流体加速度感受に基づく骨配向化制御機構,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2022年秋期（第171回）講演大会、福岡工業大学、2022年9月21日,
学会発表,2022,オステオサイトの力学応答はインテグリンシグナルを介して骨基質配向性を制御する,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、第42回日本骨形態計測学会、米子コンベンションセンター、2022年7月2日,
学会発表,2022,生体模倣応力感受システム構築によるオステオサイトを起点とした配向化骨誘導,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、粉体粉末冶金協会2022年度春季大会（第129回講演大会）、オンライン、2022年5月25日,
学会発表,2022,オステオサイトの応力感受を起点とした細胞・骨基質配向化機序の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2022年春期（第170回）講演大会、オンライン、2022年3月17日,
学会発表,2022,オステオサイトの流体加速度感受に基づく骨配向化を介した機能適応,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、第44回日本バイオマテリアル学会大会、タワーホール船堀、2022年11月21日,
学会発表,2022,英語発表,"Tadaaki Matsuzaka, Aira Matsugaki, Kazuhiko Ishihara, Takayoshi Nakano",,"Tadaaki Matsuzaka, Aira Matsugaki, Kazuhiko Ishihara, Takayoshi Nakano、NIMS WEEK 2022、東京国際フォーラム、2022年11月14日",
学会発表,2021,応力負荷異方性共培養モデル構築による力学応答骨配向化因子の同定,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2021年秋期（第169回）講演大会、オンライン、2021年9月16日,
学会発表,2021,オステオサイトの応力感受を起点とした骨芽細胞配列化因子の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、第41回日本骨形態計測学会、ソラシティカンファレンスセンター、2021年7月3日,
学会発表,2021,オステオサイトの応力感受を起点とした骨芽細胞配列化機序の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2021年春期（第168回）講演大会、オンライン、2021年3月19日,
学会発表,2021,オステオサイトの応力感受を起点とした骨芽細胞配列化制御因子の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本鉄鋼協会・日本金属学会関西支部材料物性工学談話会第2回講演会、オンライン、2021年2月4日,
学会発表,2021,オステオサイトの応力感受を起点とした骨配向化制御機構の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本バイオマテリアル学会関西ブロック第16回若手研究発表会、関西大学千里山キャンパス、2021年12月4日,
学会発表,2021,英語発表,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano",,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano、Materials Research Meeting 2021、Pacifico Yokohama、2021年12月13日",
学会発表,2021,オステオサイトの応力感受を起点とした骨配向化制御因子の同定,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、第43回日本バイオマテリアル学会大会、名古屋国際会議場、2021年11月29日,
学会発表,2021,オステオサイト－骨芽細胞間相互作用模擬異方性共培養モデルの構築,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、歯科理工学会令和3年度秋期第78回学術講演会、オンライン、2021年10月17日,
学会発表,2020,応力負荷異方性共培養モデル構築によるオステオサイトを起点とした骨芽細胞配列化制御機構の解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2020年秋期（第167回）講演大会、オンライン、2020年9月16日,
学会発表,2020,応力負荷異方性共培養モデル構築によるオステオサイトを起点とした骨基質配向化機序解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、第40回日本骨形態計測学会、岡山大学、2020年6月18日,
学会発表,2020,応力負荷異方性共培養モデル構築によるオステオサイトを起点とした骨配向化機序解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2020年春期（第166回）講演大会、オンライン、2020年3月19日,
学会発表,2020,応力負荷異方性共培養モデル構築による骨配向化をもたらす応力レスポンス因子解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会第3回第7分野講演大会、オンライン、2020年11月16日,
学会発表,2019,応力負荷異方性共培養モデル構築による細胞・骨基質配向化挙動解明,松坂匡晃、松垣あいら、中野貴由,,松坂匡晃、松垣あいら、中野貴由、日本金属学会2019年秋期（第165回）講演大会、岡山大学、2019年9月11日,
,,,,,,
,,,,,,
受賞,2024,骨基質配向性は骨に加わるひずみ速度に応じて変化する,松坂匡晃、松垣あいら、中野貴由,,第44回日本骨形態計測学会若手研究者賞「骨基質配向性は骨に加わるひずみ速度に応じて変化する」松坂匡晃、松垣あいら、中野貴由、2024年6月22日,
受賞,2024,Regulatory mechanisms for the orientation of bone matrix controlled by osteocyte mechanoresponses using a novel anisotropic mechano-coculture device,Tadaaki Matsuzaka、Aira Matsugaki、Takayoshi Nakano,,Best Poster Presentation Award「Regulatory mechanisms for the orientation of bone matrix controlled by osteocyte mechanoresponses using a novel anisotropic mechano-coculture device」Tadaaki Matsuzaka、Aira Matsugaki、Takayoshi Nakano、2024年5月29日,
受賞,2023,応力場環境に応じた骨配向性構築を介した力学機能適応,松坂匡晃、松垣あいら、中野貴由,,マテリアルデザイン研究会ポスター賞「応力場環境に応じた骨配向性構築を介した力学機能適応」松坂匡晃、松垣あいら、中野貴由、2023年12月18日,
受賞,2023,応力感受を起点とした骨配向化微細構造の自己制御に基づく力学機能適応,松坂匡晃、松垣あいら、中野貴由,,第4回 材料機能特性のアーキテクチャー研究会発表優秀賞「応力感受を起点とした骨配向化微細構造の自己制御に基づく力学機能適応」松坂匡晃、松垣あいら、中野貴由、2023年12月5日,
受賞,2023,Regulation of mesenchymal stem cells differentiation by periodic grooved structure using metal additive manufacturing for the construction of the oriented bone matrix,Tadaaki Matsuzaka、Aira Matsugaki、Takayoshi Nakano,,The 1st International conference on Creation of Materials by Superthermal Field 2023 Silver Poster Award「Regulation of mesenchymal stem cells differentiation by periodic grooved structure using metal additive manufacturing for the construction of the oriented bone matrix」Tadaaki Matsuzaka、Aira Matsugaki、Takayoshi Nakano、2023年11月16日,
受賞,2023,生理活性物質を介した耳小骨アパタイト配向化による聴覚機能制御機構,田中謙次、大原秀真、松坂匡晃、松垣あいら、石本卓也、黒田有希子、松尾光一、中野貴由,,日本金属学会秋期講演大会第41回優秀ポスター賞「生理活性物質を介した耳小骨アパタイト配向化による聴覚機能制御機構」田中謙次、大原秀真、松坂匡晃、松垣あいら、石本卓也、黒田有希子、松尾光一、中野貴由、2023年9月21日,
受賞,2023,オステオサイトの応力感受を起点とする骨配向化制御を介した力学機能適応,松坂匡晃、松垣あいら、中野貴由,,日本材料学会第4回生体・医療材料部門委員会学生研究交流会優秀講演賞「オステオサイトの応力感受を起点とする骨配向化制御を介した力学機能適応」松坂匡晃、松垣あいら、中野貴由、2023年3月29日,
受賞,2022,耳小骨アパタイト配向化による聴覚機能への影響,大原秀真、松坂匡晃、松垣あいら、黒田有希子、松尾光一、中野貴由,,日本金属学会秋期講演大会第39回優秀ポスター賞「耳小骨アパタイト配向化による聴覚機能への影響」大原秀真、松坂匡晃、松垣あいら、黒田有希子、松尾光一、中野貴由、2022年9月20日,
受賞,2022,オステオサイトの力学応答はインテグリンシグナルを介して骨基質配向性を制御する,松坂匡晃、松垣あいら、中野貴由,,第42回日本骨形態計測学会学術奨励賞「オステオサイトの力学応答はインテグリンシグナルを介して骨基質配向性を制御する」松坂匡晃、松垣あいら、中野貴由、2022年7月2日,
受賞,2022,生体模倣応力感受システム構築によるオステオサイトを起点とした配向化骨誘導,松坂匡晃、松垣あいら、中野貴由,,粉体粉末冶金協会2022年度春季大会優秀講演発表賞「生体模倣応力感受システム構築によるオステオサイトを起点とした配向化骨誘導」松坂匡晃、松垣あいら、中野貴由、2022年5月26日,
受賞,2022,オステオサイトの応力感受を起点とした骨配向化機構の解明,松坂匡晃,,令和3年度大阪大学工業会賞「オステオサイトの応力感受を起点とした骨配向化機構の解明」松坂匡晃、2022年3月15日,
